id;beschreibung;bild;bildrechte;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung
27;\N;platzhalter1.png;Michael M. Schuff;5;BWR;Betriebswirtschaft und Recht;Pflichtfach;Recht;Abgaben;5;9;Wintersemester;\N
28;\N;mustererkennung.jpg;\N;5;BV2;Mustererkennung;Vertiefungsfach;Bildverarbeitung;mündliche Prüfung;5;\N;Wintersemester;Bildverarbeitung
29;\N;webengineering2.jpg;Michael M. Schuff;5;WEB2;Webengineering 2;Vertiefungsfach;Webengineering;schriftliche Klausur;5;\N;Wintersemester;Webengineering
30;\N;computeranimation.jpg;Michael M. Schuff;5;CA;Computeranimation;Vertiefungsfach;Interaktive Computergrafik;mündliche Prüfung;5;\N;Wintersemester;Interaktive Computergrafik
31;\N;medienkonzeption.jpg;Michael M. Schuff;5;GM2;Medienkonzeption & Storytelling;Vertiefungsfach;Gestaltung von Medien;Abgabe;5;\N;Wintersemester;Gestaltung von Medien
32;\N;kameratechnik.jpg;Michael M. Schuff;5;KAT2;Kameratechnik;Vertiefungsfach;Kameratechnik;schriftliche Klausur;5;\N;Wintersemester;Kameratechnik
33;\N;medienuebertragung.jpg;Michael M. Schuff;5;MUS;Medienübertragung und -speicherung;Vertiefungsfach;Mediendistribution und -wiedergabe;schriftliche Klausur;5;\N;Wintersemester;Mediendistribution und -wiedergabe
34;\N;videostudiotechnik.jpg;Michael M. Schuff;5;VST;Videostudiotechnik;Vertiefungsfach;Produktionstechnik audiovisueller Medien;schriftliche Klausur;5;\N;Wintersemester;Produktionstechnik audiovisueller Medien
35;\N;projekt_mustererkennung.jpg;Michael M. Schuff;6;BV3;Projekt Bildverarbeitung / Mustererkennung;Vertiefungsfach;Bildverarbeitung;Abgabe;6;\N;Sommersemester;Bildverarbeitung
36;\N;projekt_webengineering.jpg;Michael M. Schuff;6;WEB3;Projekt Webengineering;Vertiefungsfach;Webengineering;Abgabe;6;\N;Sommersemester;Webengineering
37;\N;projekt_interaktive_systeme.jpg;Michael M. Schuff;6;IA;Projekt Interaktive Systeme;Vertiefungsfach;Interaktive Computergrafik;Abgabe;6;\N;Sommersemester;Interaktive Computergrafik
38;\N;projekt_mediendesign.jpg;Michael M. Schuff;6;GM3;Projekt Mediendesign;Vertiefungsfach;Gestaltung von Medien;Abgabe;6;\N;Sommersemester;Gestaltung von Medien
39;\N;projekt_kameratechnik.jpg;Michael M. Schuff;6;AKAT;Projekt Anwendungen der Kameratechnik;Vertiefungsfach;Kameratechnik;Abgabe;6;\N;Sommersemester;Kameratechnik
40;\N;projekt_produktionstechnik.jpg;Michael M. Schuff;6;PMPT;Projekt Produktionstechnik audiovisueller Medien;Vertiefungsfach;Produktionstechnik audiovisueller Medien;Abgabe;6;\N;Sommersemester;Produktionstechnik audiovisueller Medien
41;\N;projekt_mediendistribution.jpg;Michael M. Schuff;6;PMW;Projekt Mediendistribution und-wiedergabe;Vertiefungsfach;Mediendistribution und -wiedergabe;Abgabe;6;\N;Sommersemester;Mediendistribution und -wiedergabe
42;\N;platzhalter1.png;\N;15;PMP;Praxis- und Mobilitätsphase;Pflichtfach;Bachelor;Abgabe schriftlicher Bericht;7;11;Wintersemester;\N
43;\N;platzhalter2.png;\N;12;BAA;Bachelorarbeit;Pflichtfach;Bachelor;Abgabe Bachelorarbeit;7;12;Wintersemester;\N
44;\N;platzhalter3.png;\N;3;KOLL;Kolloquium zur Bachelorarbeit;Pflichtfach;Bachelor;mündlicher Ergebnisbericht;7;12;Wintersemester;\N
45;\N;platzhalter1.png;\N;5;POP;Postproduktion;Wahlfach;Wahlfach Sommersemester;Abgabe;\N;\N;Sommersemester;\N
46;\N;platzhalter2.png;\N;5;FPO;Film-und Postproduktion;Wahlfach;Wahlfach Wintersemester;Abgabe;\N;\N;Wintersemester;\N
47;\N;platzhalter3.png;\N;5;S3D;Stereoskopie;Wahlfach;Wahlfach Sommersemester;Hausarbeit;\N;\N;Sommersemester;\N
48;\N;platzhalter1.png;\N;5;CGI;CGI-Workshop;Wahlfach;Wahlfach Wintersemester;Abgaben;\N;\N;Wintersemester;\N
49;\N;platzhalter2.png;\N;5;TCG;Themen der Computergrafik;Wahlfach;Wahlfach Wintersemester;tba;\N;\N;Wintersemester;\N
